//频道数据收集自网络上的分享
港澳1212,#genre#
凤凰中文,http://[2409:8087:7000:20:1000::22]/$索引
凤凰资讯,http://[2409:8087:7000:20:1000::22]/$索引
##索引
凤凰中文,http://113.117.74.35:8081/hls/37/index.m3u8$揭信
凤凰中文,http://113.117.74.50:8081/hls/37/index.m3u8$揭信
凤凰中文,http://113.117.74.52:8081/hls/37/index.m3u8$揭信
凤凰中文,http://113.117.74.59:8081/hls/37/index.m3u8$揭信
凤凰中文,http://113.117.74.139:8081/hls/37/index.m3u8$揭信
凤凰资讯,http://113.117.74.35:8081/hls/36/index.m3u8$揭信
凤凰资讯,http://113.117.74.50:8081/hls/36/index.m3u8$揭信
凤凰资讯,http://113.117.74.52:8081/hls/36/index.m3u8$揭信
凤凰资讯,http://113.117.74.59:8081/hls/36/index.m3u8$揭信
凤凰资讯,http://113.117.74.139:8081/hls/36/index.m3u8$揭信
凤凰中文,http://113.117.74.24:8081/hls/37/index.m3u8
凤凰资讯,http://113.117.74.24:8081/hls/36/index.m3u8

凤凰资讯,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52002/index.m3u8$徐信1
凤凰资讯,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52002/2300.m3u8$徐信2
凤凰资讯,https://udnhls.skilldns.com/fhzx.m3u8
凤凰中文,http://198.16.100.90:8278/phoenixtv_hd/playlist.m3u8?tid=MFBF2713938527139385&ct=19225&tsum=1c8ca0899277714ab83db57245220068
凤凰中文,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/2300.m3u8$徐信2
凤凰中文,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/index.m3u8$徐信1
凤凰中文,http://113.117.74.28:8081/hls/37/index.m3u8
凤凰资讯,http://113.117.74.28:8081/hls/36/index.m3u8
凤凰中文,http://210.210.155.37/uq2663/h/h157/index2.m3u8
凤凰中文,http://81.69.20.196/mqlive.m3u8?ip=61.220.72.26:1888&id=live1213
凤凰资讯,http://81.69.20.196/mqlive.m3u8?ip=61.220.72.26:1888&id=live1210
凤凰资讯,http://protv.fun/play/live.php?mac=00:1A:79:50:63:9E&stream=156407&extension=ts

CCTV4,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/3000/index.m3u8?&encrypt=
CCTV4,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv4hd265/57/20191230/index.m3u8?&encrypt=
CCTV4,http://111.9.172.131:9901/tsfile/live/0004_2.m3u8
CCTV4,http://123.132.226.194:31028/hls/242/index.m3u8
CCTV4,http://cfss.cc/api/ysp/cctv4.m3u8
CCTV4,http://183.196.25.171:808/hls/4/index.m3u8
CCTV4,http://218.17.196.234:9901/tsfile/live/0004_1.m3u8
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8

先锋乒羽,http://218.29.135.2:4000/udp/225.1.4.210:1263
先锋乒羽,http://218.204.173.22:8000/udp/239.77.1.208:5146
先锋乒羽,http://lcx-olt.8866.org:8181/tsfile/live/1008_1.m3u8
先锋乒羽,http://gxyl-dl001.8866.org:8181/tsfile/live/1064_1.m3u8

翡翠台,http://cdn.jdshipin.com:8880/gdfc406.php
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
翡翠台,http://146.56.153.245:8006/bysid/1
翡翠台,https://pi.0472.org/tv/fct.php?auth=231110
翡翠台,https://pi.0472.org/tv/fct.php?auth=2310201855

明珠台Peal,http://198.16.100.90:8278/pearl_twn/playlist.m3u8?tid=MC6C7041327570413275&ct=19226&tsum=681972baf66d69caf7cccc92a90e5aad
明珠台Peal,http://qwas.eatuo.com:9901/tsfile/live/1014_1.m3u8?zgangd
明珠台Peal,https://pi.0472.org/tv/mzt.php?auth=231110
明珠台Peal,https://pi.0472.org/tv/mzt.php?auth=2310201855

无线新闻,http://bziyunshao.synology.me:8890/bysid/83
无线新闻,http://172.96.250.37:83/hk.php?id=1
无线新闻,http://protv.fun/play/live.php?mac=00:1A:79:50:63:9E&stream=153399&extension=ts
无线新闻,https://s2.pub/Y-20
